Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Oslo - Blindern;SN18700;01.02.1937;-6,5;-;-8,5;-;-
Oslo - Blindern;SN18700;02.02.1937;-4,9;-;-7,4;-;-
Oslo - Blindern;SN18700;03.02.1937;-6,1;-;-10,5;-;-
Oslo - Blindern;SN18700;04.02.1937;-3,7;-;-7,8;-;-
Oslo - Blindern;SN18700;05.02.1937;-2,7;-;-5,2;-;-
Oslo - Blindern;SN18700;06.02.1937;-1,2;-;-4,6;-;-
Oslo - Blindern;SN18700;07.02.1937;-4,5;-;-6;-;-
Oslo - Blindern;SN18700;08.02.1937;-9;-;-12;-;-
Oslo - Blindern;SN18700;09.02.1937;-8,5;-;-13,5;-;-
Oslo - Blindern;SN18700;10.02.1937;-3,1;-;-11,9;-;-
Oslo - Blindern;SN18700;11.02.1937;-1,1;-;-4,1;-;-
Oslo - Blindern;SN18700;12.02.1937;-1,1;-;-2,4;-;-
Oslo - Blindern;SN18700;13.02.1937;-3,9;-;-4,3;-;-
Oslo - Blindern;SN18700;14.02.1937;-6,3;-;-11,2;-;-
Oslo - Blindern;SN18700;15.02.1937;-0,2;-;-9,5;-;-
Oslo - Blindern;SN18700;16.02.1937;-3,7;-;-5;-;-
Oslo - Blindern;SN18700;17.02.1937;-0,5;-;-6,5;-;-
Oslo - Blindern;SN18700;18.02.1937;-3,8;-;-5,9;-;-
Oslo - Blindern;SN18700;19.02.1937;-4,3;-;-8,4;-;-
Oslo - Blindern;SN18700;20.02.1937;-2,9;-;-5,6;-;-
Oslo - Blindern;SN18700;21.02.1937;-2,3;-;-6;-;-
Oslo - Blindern;SN18700;22.02.1937;-2,4;-;-5;-;-
Oslo - Blindern;SN18700;23.02.1937;-3,8;-;-5,3;-;-
Oslo - Blindern;SN18700;24.02.1937;-3,1;-;-8,3;-;-
Oslo - Blindern;SN18700;25.02.1937;-7,6;-;-12,5;-;-
Oslo - Blindern;SN18700;26.02.1937;-7,4;-;-12,5;-;-
Oslo - Blindern;SN18700;27.02.1937;-4,2;-;-10,3;-;-
Oslo - Blindern;SN18700;28.02.1937;1,1;-;-6,4;-;-
Oslo - Blindern;SN18700;01.03.1937;1,6;2,5;0;10,6;-
Oslo - Blindern;SN18700;02.03.1937;1,5;2,4;0,8;5,4;-
Oslo - Blindern;SN18700;03.03.1937;0;2;-0,7;1,2;-
Oslo - Blindern;SN18700;04.03.1937;-1,5;0,3;-3,3;4,8;-
Oslo - Blindern;SN18700;05.03.1937;-4,5;-1;-6;0;-
Oslo - Blindern;SN18700;06.03.1937;-4,9;-2,8;-6;0,8;-
Oslo - Blindern;SN18700;07.03.1937;-8,7;-1,6;-15,6;0;-
Oslo - Blindern;SN18700;08.03.1937;-9,1;-2;-12,2;0;-
Oslo - Blindern;SN18700;09.03.1937;-9,5;-1,5;-16,9;0;-
Oslo - Blindern;SN18700;10.03.1937;-8,7;-6,2;-14,2;0;-
Oslo - Blindern;SN18700;11.03.1937;-13,9;-9;-14,4;0;-
Oslo - Blindern;SN18700;12.03.1937;-12,1;-9,9;-15,3;0,1;-
Oslo - Blindern;SN18700;13.03.1937;-7,1;-6;-9,9;0,5;-
Oslo - Blindern;SN18700;14.03.1937;-5,8;-2,8;-8;0,7;-
Oslo - Blindern;SN18700;15.03.1937;-2;0,2;-5;0,5;-
Oslo - Blindern;SN18700;16.03.1937;1;3;-1,3;10;-
Oslo - Blindern;SN18700;17.03.1937;1,9;4,2;0,4;2,1;-
Oslo - Blindern;SN18700;18.03.1937;-1,3;2;-2,2;0;-
Oslo - Blindern;SN18700;19.03.1937;-1;1;-7,5;0;-
Oslo - Blindern;SN18700;20.03.1937;2,3;5,5;0;0,1;-
Oslo - Blindern;SN18700;21.03.1937;1,5;2,2;0,6;0;-
Oslo - Blindern;SN18700;22.03.1937;1,4;2,8;-0,1;0;-
Oslo - Blindern;SN18700;23.03.1937;1,8;6,2;-2,5;0;-
Oslo - Blindern;SN18700;24.03.1937;0,5;6;-6,8;0;-
Oslo - Blindern;SN18700;25.03.1937;0,3;2;-1,9;0;-
Oslo - Blindern;SN18700;26.03.1937;-0,5;0,4;-1,3;2,7;-
Oslo - Blindern;SN18700;27.03.1937;1,1;3,2;-1,2;0,8;-
Oslo - Blindern;SN18700;28.03.1937;0,7;2,9;-1,6;0;-
Oslo - Blindern;SN18700;29.03.1937;0,7;6,7;-5,1;0;-
Oslo - Blindern;SN18700;30.03.1937;1,3;5,7;-5,6;0;-
Oslo - Blindern;SN18700;31.03.1937;-0,3;5,3;-9;0;-
Oslo - Blindern;SN18700;01.04.1937;1,1;8,3;-6,5;0;-
Oslo - Blindern;SN18700;02.04.1937;1;4,8;-4,1;0;-
Oslo - Blindern;SN18700;03.04.1937;2,1;4,3;0,8;0,1;-
Oslo - Blindern;SN18700;04.04.1937;3,5;5,8;1,5;1,4;-
Oslo - Blindern;SN18700;05.04.1937;3,3;5,5;2,4;0;-
Oslo - Blindern;SN18700;06.04.1937;4,4;7;2,9;2;-
Oslo - Blindern;SN18700;07.04.1937;5,3;10,9;2,6;0,7;-
Oslo - Blindern;SN18700;08.04.1937;5,1;7,3;3,1;0;-
